127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002089
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000798
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.002286
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.034743
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.035284
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.035874
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.030675
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.017381
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.019417
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000142
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.006637
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.006175
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.009996
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000911
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.000710
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2018-10-26 19:08:17, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.002618
